Exch,ExchType,ScripCode,Name,Expiry,ScripType,StrikeRate,FullName,TickSize,LotSize,QtyLimit,Multiplier,SymbolRoot,BOCOAllowed,ISIN,ScripData,Series
N,D,35043,MIDCPNIFTY 24 APR 2025 PE 14075.00,2025-04-24,PE,14075,MIDCPNIFTY 24 APR 2025 PE 14075.00,0.05,120,4200,1,MIDCPNIFTY,N,MIDCPNIFTY,MIDCPNIFTY 24 APR 2025 PE 14075.00_20250424_PE_14075,XX
N,D,35044,NIFTY 27 MAR 2025 PE 29050.00,2025-03-27,PE,29050,NIFTY 27 MAR 2025 PE 29050.00,0.05,75,1800,1,NIFTY,N,NIFTY,NIFTY 27 MAR 2025 PE 29050.00_20250327_PE_29050,XX
N,D,35045,MIDCPNIFTY 24 APR 2025 CE 14125.00,2025-04-24,CE,14125,MIDCPNIFTY 24 APR 2025 CE 14125.00,0.05,120,4200,1,MIDCPNIFTY,N,MIDCPNIFTY,MIDCPNIFTY 24 APR 2025 CE 14125.00_20250424_CE_14125,XX
N,D,35046,MIDCPNIFTY 24 APR 2025 PE 14125.00,2025-04-24,PE,14125,MIDCPNIFTY 24 APR 2025 PE 14125.00,0.05,120,4200,1,MIDCPNIFTY,N,MIDCPNIFTY,MIDCPNIFTY 24 APR 2025 PE 14125.00_20250424_PE_14125,XX
N,D,35047,MIDCPNIFTY 27 MAR 2025 PE 8525.00,2025-03-27,PE,8525,MIDCPNIFTY 27 MAR 2025 PE 8525.00,0.05,120,4200,1,MIDCPNIFTY,N,MIDCPNIFTY,MIDCPNIFTY 27 MAR 2025 PE 8525.00_20250327_PE_8525,XX
N,D,35048,MIDCPNIFTY 27 MAR 2025 CE 8550.00,2025-03-27,CE,8550,MIDCPNIFTY 27 MAR 2025 CE 8550.00,0.05,120,4200,1,MIDCPNIFTY,N,MIDCPNIFTY,MIDCPNIFTY 27 MAR 2025 CE 8550.00_20250327_CE_8550,XX
N,D,35049,MIDCPNIFTY 24 APR 2025 CE 14150.00,2025-04-24,CE,14150,MIDCPNIFTY 24 APR 2025 CE 14150.00,0.05,120,4200,1,MIDCPNIFTY,N,MIDCPNIFTY,MIDCPNIFTY 24 APR 2025 CE 14150.00_20250424_CE_14150,XX
N,D,35050,MIDCPNIFTY 27 MAR 2025 PE 8550.00,2025-03-27,PE,8550,MIDCPNIFTY 27 MAR 2025 PE 8550.00,0.05,120,4200,1,MIDCPNIFTY,N,MIDCPNIFTY,MIDCPNIFTY 27 MAR 2025 PE 8550.00_20250327_PE_8550,XX
N,D,35051,MIDCPNIFTY 24 APR 2025 PE 14150.00,2025-04-24,PE,14150,MIDCPNIFTY 24 APR 2025 PE 14150.00,0.05,120,4200,1,MIDCPNIFTY,N,MIDCPNIFTY,MIDCPNIFTY 24 APR 2025 PE 14150.00_20250424_PE_14150,XX
N,D,35052,ACC 27 MAR 2025,2025-03-27,XX,0,ACC 27 MAR 2025,0.05,300,12000,1,ACC,Y,INE012A01025,ACC 27 MAR 2025_20250327,XX
